T32,Net disbursements of official development assistance from donors,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
0,Total,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"20,183",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
0,Total,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"33,855",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
0,Total,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"65,424",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
0,Total,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"120,771",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
0,Total,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"147,644",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
0,Total,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"178,552",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
0,Total,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"162,782",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
0,Total,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"176,575",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
0,Total,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"177,595",Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"13,315",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"28,858",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"58,896",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"108,397",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"128,484",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"137,539",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
